0.01 487
0.02 259
0.03 179
0.04 136
0.05 111
0.06 93
0.07 80
0.08 70
0.09 63
0.1 56
0.11 51
0.12 47
0.13 43
0.14 40
0.15 37
0.16 35
0.17 32
0.18 30
0.19 29
0.2 27
0.21 26
0.22 24
0.23 23
0.24 22
0.25 21
0.26 20
0.27 19
0.28 18
0.29 17
0.3 16
0.31 16
0.32 15
0.33 14
0.34 14
0.35 13
0.36 13
0.37 12
0.38 12
0.39 11
0.4 11
0.41 10
0.42 10
0.43 9
0.44 9
0.45 8
0.46 8
0.47 7
0.48 7
0.49 6
0.5 6
0.51 5
0.52 5
0.53 6
0.54 6
0.55 7
0.56 7
0.57 8
0.58 8
0.59 8
0.6 9
0.61 9
0.62 9
0.63 9
0.64 8
0.65 10
0.66 11
0.67 12
0.68 12
0.69 13
0.7 14
0.71 15
0.72 16
0.73 16
0.74 17
0.75 18
0.76 19
0.77 21
0.78 22
0.79 23
0.8 24
0.81 26
0.82 28
0.83 29
0.84 31
0.85 34
0.86 36
0.87 39
0.88 42
0.89 46
0.9 50
0.91 55
0.92 62
0.93 69
0.94 78
0.95 90
0.96 105
0.97 127
0.98 158
0.99 210
